Info,Type,Value,Standard
Number of Sub-Tier supplier facilities,,115,"SASB TC-HW-430a.1, TC-HW-430a.2"
Percentage of all Sub-Tier supplier facilities audited in the RBA Validated Assessment Program or equivalent2,,61%,"SASB TC-HW-430a.1, TC-HW-430a.2"
Percentage of high-risk Sub-Tier supplier facilities audited in the RBA Validated Assessment Program or equivalent,,0%,"SASB TC-HW-430a.1, TC-HW-430a.2"
Sub-Tier suppliers’ non-conformance rate with the RBA Validated Assessment Program or equivalent,,5%,"SASB TC-HW-430a.1, TC-HW-430a.2"
Sub-Tier suppliers’ associated corrective action rate for priority non-conformances,,100%,"SASB TC-HW-430a.1, TC-HW-430a.2"
Sub-Tier suppliers’ associated corrective action rate for other non-conformances,,97%,"SASB TC-HW-430a.1, TC-HW-430a.2"
"Select the name of the standard, protocol, or methodology you have used to collect activity data and calculate emissions.",,Greenhouse Gas Protocol (GHGGP),
"Are there any sources (e.g. facilities, specific GHGs, activities, geographies, etc.) of Scope 1, Scope 2 or Scope 3 emissions that are within your selected reporting boundary which are not included in your disclosure?",,"Item 1",
Does your organization have a board of directors or an equivalent governing body?,,yes,
"How do your gross global emissions (Scope 1 and 2 combined) for the reporting year compare to those of the previous reporting year?",,"Item 1",
"Provide details of the sources of Scope 1, Scope 2, or Scope 3 emissions that are within your selected reporting boundary which are not included in your disclosure.",,"Excluded Sources:Scope 3, Category 2: Capital goods Scope 3, Category 3: Fuel and energy-related activities Scope 3, Category 8: Leased assets Scope 3, Category 9: Transportation and distribution downstream Scope 3, Category 10: Processing of sold goods Scope 3, Category 11: Use of sold products Scope 3, Category 12: End of life treatment of sold products Scope 3, Category 13: Leased assets Scope 3, Category 15: Investments",
"Are there any sources Scope 1, Scope 2 or Scope 3 emissions that are within your selected reporting boundary which are not included in your disclosure?",,Not applicable,
what is your base year and base year GHG emissions in MT co2e for Base Year,,"FY 2019",
what is your base year and base year GHG emissions in MT co2e for Combined scope 3 GHG emissions,,"83,337",
what is your base year and base year GHG emissions in MT co2e for Scope 1 GHG emissions,,"38,759",
"what is your base year and base year GHG emissions in MT co2e for Scope 2, Location Based GHG emissions",,"1,572,629",
"what is your base year and base year GHG emissions in MT co2e for Scope 2, Market Based GHG emissions",,"759,881",
"what is your base year and base year GHG emissions in MT co2e for Total GHG emissions",,"1,694,725",
"Report your organization’s electricity consumption totals (excluding feedstocks) for FY 2023 in MWh for MWh from renewable sources",,"2,113,075",
"Report your organization’s electricity consumption totals (excluding feedstocks) for FY 2023 in MWh for MWh from non-renewable sources",,"947,607",
"Report your organization’s electricity consumption totals (excluding feedstocks) for FY 2023 in MWh for Total (renewable and non-renewable) MWh",,"3,060,682",
Total Direct (Scope 1) GHG Emissions (CO2e-ton) for R-407C,,0,"GRI 305-1, SASB TC-SC-110a.1"
"Scope 1, 2, and 3 Emissions Inventory (Total Emissions Footprint for FY)",,"896422.6",
"Report your organization’s energy consumption totals (excluding feedstocks) in MWh for FY 2023 for MWh from Scope 1",,"240,391",
"Report your organization’s energy consumption totals (excluding feedstocks) in MWh for FY 2023 for MWh from Scope 2",,"3,164,836",
"Report your organization’s energy consumption totals (excluding feedstocks) in MWh for FY 2023 for Total (Scope 1 and Scope 2) MWh",,"3,405,227",
"Scope 1, 2, and 3 Emissions Inventory (Total Emissions Footprint for FY 2023)",,"2,140,602",
"What is your organization’s Scope 1 GHG emissions for FY 2023?",,"55,192",
"What is your organization’s Scope 2 Location Based GHG emissions for FY 2023?",,"1,784,818",
"What is your organization’s Scope 2 Market Based GHG emissions for FY 2023?",,"513,483",
"What is your organization’s combined Scope 3 GHG emissions for FY 2023?",,"98,322",
"Indicate the verification or assurance status that applies to your reported emissions.",,"Third-party verification or assurance process in place",
"What is your combined Scope 1, 2, and 3 Emissions total in MT co2e for year 2023",,"2,140,602",
"Provide details of your absolute emissions target(s) and progress made against those targets.",,"Jabil has set GHG reduction targets to reduce Scope 1 and 2 GHG emissions by 25% by the end of fiscal year 2025 and by 50% by the end of fiscal year 2030 compared to the 2019 baseline levels. They have already met the 25% reduction goal two years ahead of schedule. Additionally, Jabil has a target for carbon neutrality by 2045.",
"Provide details of your emissions intensity target(s) and progress made against those target(s).",,"Jabil has set GHG reduction targets aligned with the scientific community's recommendations to limit global warming to 1.5 degrees Celsius. The company aimed to reduce Scope 1 and 2 GHG emissions by 25% by the end of fiscal year 2025, a goal achieved two years ahead of schedule. Additionally, Jabil committed to a 50% reduction in these emissions by the end of fiscal year 2030 compared to 2019 baseline levels. The company also set a target for carbon neutrality by 2045. Jabil tracks progress towards sustainability targets using digital dashboards reviewed regularly by leadership teams, making strategy adjustments as needed.",
"Did you have any other climate-related targets that were active in the reporting year?",,"Yes, there were additional climate-related targets that were active in the reporting year.",
"What is your organization’s Scope 1 GHG emissions for FY 2022?",,"53,174",
"What is your organization’s Scope 2 Location Based GHG emissions for FY 2022?",,"1,735,145",
"What is your organization’s Scope 2 Market Based GHG emissions for FY 2022?",,"558,405",
"What is your organization’s combined Scope 3 GHG emissions for FY 2022?",,"6,730,917",
"Report your organization’s energy consumption totals (excluding feedstocks) for FY 2022 for MWh from Scope 1",,"240,926",
"Report your organization’s energy consumption totals (excluding feedstocks) for FY 2022 for MWh from Scope 2",,"3,072,154",
"Report your organization’s energy consumption totals (excluding feedstocks) for FY 2022 for Total (Scope 1 and Scope 2) MWh",,"3,313,080",
"Report your organization’s electricity consumption totals (excluding feedstocks) in MWh for FY 2022 for MWh from renewable sources",,"1,958,504",
"Report your organization’s electricity consumption totals (excluding feedstocks) in MWh for FY 2022 for MWh from non-renewable sources",,"1,011,256",
"Report your organization’s electricity consumption totals (excluding feedstocks) in MWh for FY 2022 for Total (renewable and non-renewable) MWh",,"2,969,760",
"Describe your organization’s approach to reporting Scope 2 emissions for market based?",,"Item 1",
"What percentage of your total operational spend in the reporting year was on energy?",,"N/A",
"Did you have an emissions target that was active in the FY 2023?",,"Yes",
"Which one is your organization’s approach to reporting Scope 2 location-based emissions.",,"Item 1",
"Does your organization break down its Scope 1 emissions by greenhouse gas type?",,"No",
